# ================================================================
# Adr Catalog
# ================================================================
# Repo:      L9
# Generated: 2026-02-11 20:18 UTC
# Branch:    main (f0aa4f7f)
# Generator: export_repo_indexes.py v2.2.0
# ================================================================

# L9 Architecture Decision Record (ADR) Catalog
# Generated: 2026-02-11
# Total: 92 ADRs
#
# Format: ADR_NUMBER | STATUS | TITLE | PATH
# ============================================================================

# FOUNDATION (0001-0013)
0000 | Unknown | Unknown | readme/adr/0000-core-philosophy.md
0001 | Accepted | Sandboxed Path Resolution for Research Factory | readme/adr/0001-path-safety.md
0002 | Accepted | Circular Import Prevention via TYPE_CHECKING Pattern | readme/adr/0002-circular-import-prevention.md
0003 | Accepted | Documentation Standards for AI-Readable Codebase | readme/adr/0003-documentation-standards.md
0004 | Accepted | Singleton Auto-Registry Pattern | readme/adr/0004-singleton-auto-registry.md
0005 | Accepted | RLS Shared Tenant Model | readme/adr/0005-rls-shared-tenant-model.md
0006 | Accepted | PacketEnvelope Audit Trail | readme/adr/0006-packet-envelope-audit-trail.md
0007 | Accepted | 7-Phase Bootstrap Ceremony | readme/adr/0007-seven-phase-bootstrap.md
0008 | Accepted | Feature Flag Gating Pattern | readme/adr/0008-feature-flag-gating.md
0009 | Accepted | Circuit Breaker Resilience | readme/adr/0009-circuit-breaker-resilience.md
0010 | Accepted | must_stay_async Decorator | readme/adr/0010-must-stay-async-decorator.md
0011 | Accepted | Lazy Initialization Pattern | readme/adr/0011-lazy-initialization-pattern.md
0012 | Accepted | Memory DAG Pipeline | readme/adr/0012-memory-dag-pipeline.md
0013 | Accepted | Governance Authority Hierarchy | readme/adr/0013-governance-authority-hierarchy.md

# CORE PATTERNS (0014-0023)
0014 | Accepted | DORA Metadata Block Pattern | readme/adr/0014-dora-metadata-block.md
0015 | Accepted | Migration Sequential Apply Pattern | readme/adr/0015-migration-sequential-apply.md
0016 | Accepted | TypedDict vs Pydantic Boundary | readme/adr/0016-typeddict-pydantic-boundary.md
0017 | Accepted | Tool Definition Schema | readme/adr/0017-tool-definition-schema.md
0019 | Accepted | structlog Logging Standard | readme/adr/0019-structlog-logging-standard.md
0020 | Accepted | Test Fixture Hierarchy | readme/adr/0020-test-fixture-hierarchy.md
0021 | Accepted | LangGraph Node Wrapper Pattern | readme/adr/0021-langgraph-node-wrapper.md
0022 | Accepted | Registry Pattern | readme/adr/0022-registry-pattern.md
0023 | Accepted | Error Packet Pattern | readme/adr/0023-error-packet-pattern.md

# ADVANCED PATTERNS (0024+)
0024 | Accepted | Resilience Mixin Pattern | readme/adr/0024-resilience-mixin-pattern.md
0025 | Accepted | FastAPI Dependency Injection | readme/adr/0025-fastapi-dependency-injection.md
0026 | Accepted | Protocol-Based Abstractions | readme/adr/0026-protocol-based-abstractions.md
