# ================================================================
# Dynamic Tool Catalog
# ================================================================
# Repo:      L9
# Generated: 2026-02-13 21:23 UTC
# Branch:    main (58f7d020)
# Generator: export_repo_indexes.py v3.0.0
# ================================================================

# L9 Dynamic Tool Catalog
# =========================
# Auto-discovered ToolDefinition(...) instances across entire codebase.
# Includes: core/tools/, runtime/, core/agents/bootstrap/, services/

## Registered ToolDefinitions

| Tool | Category | Scope | Risk | Igor? | Description | File |
|------|----------|-------|------|-------|-------------|------|
| `calendar_create` | scheduling | - | - | - | Create calendar event | core/tools/tool_graph.py |
| `cypher_template_execute` | - | - | - | - | - | core/tools/tool_graph.py |
| `cypher_template_list` | introspection | internal | low | - | List available parameterized Cypher templates | core/tools/tool_graph.py |
| `email_draft` | communication | - | - | - | Create email draft | core/tools/tool_graph.py |
| `email_forward` | communication | - | - | - | Forward an email message | core/tools/tool_graph.py |
| `email_get` | communication | - | - | - | Get full email message with body and attachments | core/tools/tool_graph.py |
| `email_query` | communication | - | - | - | Query emails from Gmail account | core/tools/tool_graph.py |
| `email_reply` | communication | - | - | - | Reply to an email message | core/tools/tool_graph.py |
| `email_send` | - | - | - | - | - | core/tools/tool_graph.py |
| `git_commit` | execution | requires_igor_approval | high | True | Commit changes to git repository - requires Igor | core/tools/tool_graph.py |
| `github_create_issue` | integration | external | low | - | Create a GitHub issue via MCP | core/tools/tool_graph.py |
| `github_create_pull_request` | integration | external | medium | - | Create a GitHub pull request via MCP | core/tools/tool_graph.py |
| `github_merge_pull_request` | integration | external | high | True | Merge a GitHub pull request via MCP | core/tools/tool_graph.py |
| `gmp_run` | governance | - | high | True | Execute GMP protocol | core/agents/bootstrap/phase_5_bind_tools.py |
| `godaddy_update_dns_record` | integration | external | high | True | Update a GoDaddy DNS record via MCP | core/tools/tool_graph.py |
| `graph_memory_find_related_topics` | memory | internal | low | - | Find topics related to a given topic | core/tools/tool_graph.py |
| `graph_memory_get_context` | memory | internal | low | - | Get conversation context for a session | core/tools/tool_graph.py |
| `graph_memory_query_history` | memory | internal | low | - | Query user conversation history from graph memory | core/tools/tool_graph.py |
| `graph_memory_store` | memory | internal | low | - | Store a message in conversational graph memory | core/tools/tool_graph.py |
| `http_request` | integration | external | medium | - | Make HTTP requests to external APIs. Supports GET, | core/tools/tool_graph.py |
| `hybrid_rag_search` | - | - | - | - | - | core/tools/tool_graph.py |
| `kernel_read` | knowledge | internal | - | - | Read kernel definitions and constraints | core/tools/tool_graph.py |
| `llm_chat` | ai | - | - | - | Chat with OpenAI models | core/tools/tool_graph.py |
| `long_plan_execute` | - | - | - | - | - | core/tools/tool_graph.py |
| `long_plan_simulate` | - | - | - | - | - | core/tools/tool_graph.py |
| `mac_agent_exec_task` | - | - | - | - | - | core/tools/tool_graph.py |
| `mcp_call_tool` | - | - | - | - | - | core/tools/tool_graph.py |
| `mcp_discover_and_register` | integration | internal | low | - | Auto-discover all MCP tools and register them in N | core/tools/tool_graph.py |
| `mcp_list_servers` | integration | internal | low | - | List all configured MCP servers and their status | core/tools/tool_graph.py |
| `mcp_list_tools` | - | - | - | - | - | core/tools/tool_graph.py |
| `mcp_start_server` | - | - | - | - | - | core/tools/tool_graph.py |
| `mcp_stop_all_servers` | mcp | internal | medium | - | Stop all running MCP servers. Use for cleanup or r | core/tools/tool_graph.py |
